Nº;Date;Time;Shift;League;HomeTeam;HomePlayer;AwayTeam;AwayPlayer;golsHome;golsAway;FTR
253;02/07;08:00;Manhã;GT_Leagues;Bayern;Punisher;Bayer 04;Magdy;3;4;A
254;02/07;07:45;Manhã;GT_Leagues;Villarreal;Pontiac;AC Milan;Pele;5;6;A
255;02/07;07:45;Manhã;GT_Leagues;West Ham;Dennis;Marseille;Gorilla;2;3;A
256;02/07;07:45;Manhã;GT_Leagues;RB Leipzig;Nazario;VfB Stuttgart;Aladdin;2;2;D
257;02/07;07:45;Manhã;GT_Leagues;Dortmund;Panic;Bayern;Punisher;2;2;D
258;02/07;07:30;Manhã;GT_Leagues;Marseille;Gorilla;Benfica;Cruise;1;0;H
259;02/07;07:30;Manhã;GT_Leagues;West Ham;Dennis;AC Milan;Pele;3;2;H
260;02/07;07:30;Manhã;GT_Leagues;Bayer 04;Magdy;VfB Stuttgart;Aladdin;6;3;H
261;02/07;07:30;Manhã;GT_Leagues;Dortmund;Panic;RB Leipzig;Nazario;1;4;A
262;02/07;07:15;Manhã;GT_Leagues;Man City;Pele;Man Utd;Cruise;4;1;H
263;02/07;07:15;Manhã;GT_Leagues;Tottenham;Dennis;Arsenal;Pontiac;6;3;H
264;02/07;07:15;Manhã;GT_Leagues;Bayer 04;Magdy;RB Leipzig;Nazario;3;3;D
265;02/07;07:00;Manhã;GT_Leagues;Aston Villa;Gorilla;Arsenal;Pontiac;1;2;A
266;02/07;07:00;Manhã;GT_Leagues;Tottenham;Dennis;Man Utd;Cruise;3;0;H
267;02/07;07:00;Manhã;GT_Leagues;PAOK;Magdy;Ajax;Panic;4;1;H
268;02/07;06:45;Manhã;GT_Leagues;Aston Villa;Gorilla;Man City;Pele;0;5;A
269;02/07;06:45;Manhã;GT_Leagues;Man Utd;Cruise;Arsenal;Pontiac;2;5;A
270;02/07;06:45;Manhã;GT_Leagues;Aston Villa;Aladdin;Ajax;Panic;2;2;D
271;02/07;06:30;Manhã;GT_Leagues;Man City;Pele;Arsenal;Pontiac;5;4;H
272;02/07;06:30;Manhã;GT_Leagues;Aston Villa;Gorilla;Tottenham;Dennis;2;3;A
273;02/07;06:30;Manhã;GT_Leagues;Real Betis;Punisher;Ajax;Panic;3;3;D
274;02/07;06:30;Manhã;GT_Leagues;Aston Villa;Aladdin;Lille;Nazario;1;2;A
275;02/07;06:15;Manhã;GT_Leagues;Man City;Pele;Tottenham;Dennis;5;2;H
276;02/07;06:15;Manhã;GT_Leagues;Man Utd;Cruise;Aston Villa;Gorilla;3;4;A
