Nº;Date;Time;Shift;League;HomeTeam;HomePlayer;AwayTeam;AwayPlayer;golsHome;golsAway;FTR
189;02/07;09:00;Manhã;GT Leagues;AC Milan;Pele;West Ham;Dennis;1;4;A
190;02/07;09:00;Manhã;GT Leagues;VfB Stuttgart;Aladdin;RB Leipzig;Nazario;4;0;H
191;02/07;09:00;Manhã;GT Leagues;Bayern;Punisher;Dortmund;Panic;1;1;D
192;02/07;08:45;Manhã;GT Leagues;VfB Stuttgart;Aladdin;Bayer 04;Magdy;2;0;H
193;02/07;08:45;Manhã;GT Leagues;RB Leipzig;Nazario;Dortmund;Panic;1;0;H
194;02/07;08:30;Manhã;GT Leagues;Villarreal;Pontiac;West Ham;Dennis;5;4;H
195;02/07;08:30;Manhã;GT Leagues;Benfica;Cruise;AC Milan;Pele;2;3;A
196;02/07;08:30;Manhã;GT Leagues;Bayern;Punisher;VfB Stuttgart;Aladdin;2;5;A
197;02/07;08:30;Manhã;GT Leagues;RB Leipzig;Nazario;Bayer 04;Magdy;3;6;A
198;02/07;08:15;Manhã;GT Leagues;Villarreal;Pontiac;Marseille;Gorilla;2;3;A
199;02/07;08:15;Manhã;GT Leagues;Benfica;Cruise;West Ham;Dennis;1;1;D
200;02/07;08:15;Manhã;GT Leagues;Dortmund;Panic;Bayer 04;Magdy;4;1;H
201;02/07;08:15;Manhã;GT Leagues;Bayern;Punisher;RB Leipzig;Nazario;1;2;A
202;02/07;08:00;Manhã;GT Leagues;Villarreal;Pontiac;Benfica;Cruise;1;4;A
203;02/07;08:00;Manhã;GT Leagues;AC Milan;Pele;Marseille;Gorilla;5;1;H
204;02/07;08:00;Manhã;GT Leagues;Dortmund;Panic;VfB Stuttgart;Aladdin;1;3;A
205;02/07;08:00;Manhã;GT Leagues;Bayern;Punisher;Bayer 04;Magdy;3;4;A
206;02/07;07:45;Manhã;GT Leagues;Villarreal;Pontiac;AC Milan;Pele;5;6;A
207;02/07;07:45;Manhã;GT Leagues;West Ham;Dennis;Marseille;Gorilla;2;3;A
208;02/07;07:45;Manhã;GT Leagues;RB Leipzig;Nazario;VfB Stuttgart;Aladdin;2;2;D
209;02/07;07:45;Manhã;GT Leagues;Dortmund;Panic;Bayern;Punisher;2;2;D
210;02/07;07:30;Manhã;GT Leagues;Marseille;Gorilla;Benfica;Cruise;1;0;H
211;02/07;07:30;Manhã;GT Leagues;West Ham;Dennis;AC Milan;Pele;3;2;H
212;02/07;07:30;Manhã;GT Leagues;Bayer 04;Magdy;VfB Stuttgart;Aladdin;6;3;H
213;02/07;07:30;Manhã;GT Leagues;Dortmund;Panic;RB Leipzig;Nazario;1;4;A
214;02/07;07:15;Manhã;GT Leagues;Man City;Pele;Man Utd;Cruise;4;1;H
215;02/07;07:15;Manhã;GT Leagues;Tottenham;Dennis;Arsenal;Pontiac;6;3;H
216;02/07;07:15;Manhã;GT Leagues;VfB Stuttgart;Aladdin;Bayern;Punisher;3;1;H
217;02/07;07:15;Manhã;GT Leagues;Bayer 04;Magdy;RB Leipzig;Nazario;3;3;D
218;02/07;07:00;Manhã;GT Leagues;Aston Villa;Gorilla;Arsenal;Pontiac;1;2;A
219;02/07;07:00;Manhã;GT Leagues;Tottenham;Dennis;Man Utd;Cruise;3;0;H
220;02/07;07:00;Manhã;GT Leagues;Lille;Nazario;Real Betis;Punisher;4;1;H
221;02/07;07:00;Manhã;GT Leagues;PAOK;Magdy;Ajax;Panic;4;1;H
222;02/07;06:45;Manhã;GT Leagues;Aston Villa;Gorilla;Man City;Pele;0;5;A
223;02/07;06:45;Manhã;GT Leagues;Man Utd;Cruise;Arsenal;Pontiac;2;5;A
224;02/07;06:45;Manhã;GT Leagues;PAOK;Magdy;Real Betis;Punisher;4;6;A
225;02/07;06:45;Manhã;GT Leagues;Aston Villa;Aladdin;Ajax;Panic;2;2;D
226;02/07;06:30;Manhã;GT Leagues;Man City;Pele;Arsenal;Pontiac;5;4;H
227;02/07;06:30;Manhã;GT Leagues;Aston Villa;Gorilla;Tottenham;Dennis;2;3;A
228;02/07;06:30;Manhã;GT Leagues;Real Betis;Punisher;Ajax;Panic;3;3;D
229;02/07;06:30;Manhã;GT Leagues;Aston Villa;Aladdin;Lille;Nazario;1;2;A
230;02/07;06:15;Manhã;GT Leagues;Man City;Pele;Tottenham;Dennis;5;2;H
231;02/07;06:15;Manhã;GT Leagues;Man Utd;Cruise;Aston Villa;Gorilla;3;4;A
232;02/07;06:15;Manhã;GT Leagues;Lille;Nazario;Ajax;Panic;2;4;A
233;02/07;06:00;Manhã;GT Leagues;Man Utd;Cruise;Man City;Pele;2;3;A
234;02/07;06:00;Manhã;GT Leagues;Arsenal;Pontiac;Tottenham;Dennis;2;3;A
235;02/07;06:00;Manhã;GT Leagues;Real Betis;Punisher;Aston Villa;Aladdin;2;2;D
236;02/07;06:00;Manhã;GT Leagues;Lille;Nazario;PAOK;Magdy;4;3;H
237;02/07;05:45;Madrugada;GT Leagues;Arsenal;Pontiac;Aston Villa;Gorilla;2;2;D
238;02/07;05:45;Madrugada;GT Leagues;Man Utd;Cruise;Tottenham;Dennis;3;4;A
239;02/07;05:30;Madrugada;GT Leagues;Man City;Pele;Aston Villa;Gorilla;5;0;H
240;02/07;05:30;Madrugada;GT Leagues;Arsenal;Pontiac;Man Utd;Cruise;2;5;A
241;02/07;05:30;Madrugada;GT Leagues;Real Betis;Punisher;Lille;Nazario;1;3;A
242;02/07;05:30;Madrugada;GT Leagues;Ajax;Panic;PAOK;Magdy;4;5;A
243;02/07;05:15;Madrugada;GT Leagues;Arsenal;Pontiac;Man City;Pele;4;6;A
244;02/07;05:15;Madrugada;GT Leagues;Tottenham;Dennis;Aston Villa;Gorilla;2;0;H
245;02/07;05:15;Madrugada;GT Leagues;Real Betis;Punisher;PAOK;Magdy;3;4;A
246;02/07;05:15;Madrugada;GT Leagues;Ajax;Panic;Aston Villa;Aladdin;3;5;A
247;02/07;05:00;Madrugada;GT Leagues;Tottenham;Dennis;Man City;Pele;2;2;D
248;02/07;05:00;Madrugada;GT Leagues;Aston Villa;Gorilla;Man Utd;Cruise;3;3;D
249;02/07;05:00;Madrugada;GT Leagues;Ajax;Panic;Real Betis;Punisher;2;5;A
250;02/07;05:00;Madrugada;GT Leagues;Lille;Nazario;Aston Villa;Aladdin;2;2;D
251;02/07;04:45;Madrugada;GT Leagues;Ajax;Panic;Lille;Nazario;2;3;A
252;02/07;04:45;Madrugada;GT Leagues;PAOK;Magdy;Aston Villa;Aladdin;4;3;H
253;02/07;04:30;Madrugada;GT Leagues;Aston Villa;Aladdin;Real Betis;Punisher;5;3;H
254;02/07;04:30;Madrugada;GT Leagues;PAOK;Magdy;Lille;Nazario;2;1;H
255;02/07;04:30;Madrugada;GT Leagues;Aston Villa;Aladdin;Real Betis;Punisher;5;3;H
256;02/07;04:30;Madrugada;GT Leagues;PAOK;Magdy;Lille;Nazario;2;1;H
257;02/07;04:15;Madrugada;GT Leagues;Real Madrid;Magdy;Bayern;Panic;2;3;A
258;02/07;04:15;Madrugada;GT Leagues;PSG;Nazario;Man City;Punisher;5;3;H
259;02/07;04:00;Madrugada;GT Leagues;Inter;Aladdin;Bayern;Panic;2;2;D
260;02/07;04:00;Madrugada;GT Leagues;Real Madrid;Magdy;Man City;Punisher;2;1;H
261;02/07;03:45;Madrugada;GT Leagues;Inter;Aladdin;PSG;Nazario;2;3;A
262;02/07;03:45;Madrugada;GT Leagues;Man City;Punisher;Bayern;Panic;1;2;A
263;02/07;03:30;Madrugada;GT Leagues;Inter;Aladdin;Real Madrid;Magdy;3;3;D
264;02/07;03:30;Madrugada;GT Leagues;PSG;Nazario;Bayern;Panic;3;5;A
265;02/07;03:15;Madrugada;GT Leagues;PSG;Nazario;Real Madrid;Magdy;2;4;A
266;02/07;03:15;Madrugada;GT Leagues;Man City;Punisher;Inter;Aladdin;1;2;A
267;02/07;03:00;Madrugada;GT Leagues;Man City;Punisher;PSG;Nazario;3;1;H
268;02/07;03:00;Madrugada;GT Leagues;Bayern;Panic;Real Madrid;Magdy;2;3;A
269;02/07;02:45;Madrugada;GT Leagues;Man City;Punisher;Real Madrid;Magdy;4;2;H
270;02/07;02:45;Madrugada;GT Leagues;Bayern;Panic;Inter;Aladdin;2;0;H
271;02/07;02:30;Madrugada;GT Leagues;Bayern;Panic;Man City;Punisher;5;1;H
272;02/07;02:30;Madrugada;GT Leagues;PSG;Nazario;Inter;Aladdin;3;4;A
273;02/07;02:15;Madrugada;GT Leagues;Real Madrid;Magdy;Inter;Aladdin;5;1;H
274;02/07;02:15;Madrugada;GT Leagues;Bayern;Panic;PSG;Nazario;0;3;A
275;02/07;02:00;Madrugada;GT Leagues;Inter;Aladdin;Man City;Punisher;4;1;H
276;02/07;02:00;Madrugada;GT Leagues;Real Madrid;Magdy;PSG;Nazario;3;4;A
277;02/07;01:30;Madrugada;GT Leagues;West Ham;Goliath;Villarreal;Tongpo;1;7;A
278;02/07;01:30;Madrugada;GT Leagues;AC Milan;Carlos;Benfica;Ivan;6;3;H
279;02/07;01:15;Madrugada;GT Leagues;West Ham;Goliath;Benfica;Ivan;6;2;H
280;02/07;01:00;Madrugada;GT Leagues;Benfica;Ivan;Villarreal;Tongpo;1;5;A
281;02/07;01:00;Madrugada;GT Leagues;Marseille;Hakan;AC Milan;Carlos;2;5;A
